"Received
Posted","Operator Name
Number",Operator Contact,"Approved Date
API No.
(Scout Card Link)",Type of Permit,Well Name/Number,Objective Formation,Proposed TD,Well Location,Footage Call,Field,County
"03/29/2017
04/10/2017","PDC ENERGY INC
69175 ","Ally Gale 
(303) 831-3931 ","06/30/2017
05-123-45067-00",DR ,"Bath-Sch
32H-312 ",NIOBRARA ,17087,NWSW 32 5N 64W,2290 FSL 379 FWL,"WATTENBERG
90750 ",WELD 
"03/21/2017
03/24/2017","BONANZA CREEK ENERGY OPERATING COMPANY LLC
8960 ","Brian Dodek 
(720) 225-6653 ","06/30/2017
05-123-45068-00",DR ,"Pronghorn
24-8-5XRLNB ",NIOBRARA ,15903,SWSW 8 5N 61W,407 FSL 1335 FWL,"WATTENBERG
90750 ",WELD 
"03/21/2017
03/24/2017","BONANZA CREEK ENERGY OPERATING COMPANY LLC
8960 ","Brian Dodek 
(720) 225-6653 ","06/30/2017
05-123-45070-00",DR ,"Pronghorn
E14-8-5XRLNC ",NIOBRARA ,16015,SWSW 8 5N 61W,247 FSL 1272 FWL,"WATTENBERG
90750 ",WELD 
"03/21/2017
03/24/2017","BONANZA CREEK ENERGY OPERATING COMPANY LLC
8960 ","Brian Dodek 
(720) 225-6653 ","06/30/2017
05-123-45073-00",DR ,"Pronghorn
J-8-5XRLNB ",NIOBRARA ,15839,SWSW 8 5N 61W,407 FSL 1315 FWL,"WATTENBERG
90750 ",WELD 
"03/21/2017
03/24/2017","BONANZA CREEK ENERGY OPERATING COMPANY LLC
8960 ","Brian Dodek 
(720) 225-6653 ","06/30/2017
05-123-45071-00",DR ,"Pronghorn
J14-8-5XRLNC ",NIOBRARA ,15913,SWSW 8 5N 61W,247 FSL 1292 FWL,"WATTENBERG
90750 ",WELD 
"03/21/2017
03/24/2017","BONANZA CREEK ENERGY OPERATING COMPANY LLC
8960 ","Brian Dodek 
(720) 225-6653 ","06/30/2017
05-123-45075-00",DR ,"Pronghorn
J24-8-5XRLNC ",NIOBRARA ,15923,SWSW 8 5N 61W,247 FSL 1312 FWL,"WATTENBERG
90750 ",WELD 
"03/29/2017
04/10/2017","PDC ENERGY INC
69175 ","Ally Gale 
(303) 831-3931 ","06/30/2017
05-123-45074-00",DR ,"Bath-Sch
32H-212 ",NIOBRARA ,16975,NWSW 32 5N 64W,2305 FSL 379 FWL,"WATTENBERG
90750 ",WELD 
"03/21/2017
03/24/2017","BONANZA CREEK ENERGY OPERATING COMPANY LLC
8960 ","Brian Dodek 
(720) 225-6653 ","06/30/2017
05-123-45069-00",DR ,"Pronghorn
E-8-5XRLNB ",NIOBRARA ,16070,SWSW 8 5N 61W,407 FSL 1275 FWL,"WATTENBERG
90750 ",WELD 
"03/21/2017
03/24/2017","BONANZA CREEK ENERGY OPERATING COMPANY LLC
8960 ","Brian Dodek 
(720) 225-6653 ","06/30/2017
05-123-45079-00",DR ,"Pronghorn
O24-8-5XRLNC ",NIOBRARA ,16051,SWSW 8 5N 61W,247 FSL 1332 FWL,"WATTENBERG
90750 ",WELD 
"03/29/2017
04/10/2017","PDC ENERGY INC
69175 ","Ally Gale 
(303) 831-3931 ","06/30/2017
05-123-45077-00",DR ,"Bath-Sch
32G-202 ",NIOBRARA ,16953,NWSW 32 5N 64W,2335 FSL 379 FWL,"WATTENBERG
90750 ",WELD 
"06/23/2017
06/23/2017","SANDRIDGE EXPLORATION & PRODUCTION LLC
10598 ","Spence Laird 
(405) 4296518 ","06/29/2017
05-057-06593-01",DR ,"Grizzly 0881
2-1H36 ",NIOBRARA ,17264,NENE 12 7N 81W,560 FNL 11 FEL,"NORTH PARK HORIZONTAL NIOBRARA
60120 ",JACKSON 
"03/22/2017
04/06/2017","VANGUARD OPERATING LLC
10531 ","Jack Desmond 
(303) 456-9038 ","06/29/2017
05-045-21267-00",DR ,"Robinson
43A-26-692 ",ILES ,7452,SESE 26 6S 92W,419 FSL 415 FEL,"MAMM CREEK
52500 ",GARFIELD 
"03/22/2017
04/06/2017","VANGUARD OPERATING LLC
10531 ","Jack Desmond 
(303) 456-9038 ","06/29/2017
05-045-21264-00",DR ,"Robinson
43B-26-692 ",WILLIAMS FORK ,7610,SESE 26 6S 92W,412 FSL 411 FEL,"MAMM CREEK
52500 ",GARFIELD 
"03/22/2017
03/24/2017","VANGUARD OPERATING LLC
10531 ","Jack Desmond 
(303) 456-9038 ","06/29/2017
05-045-19016-00",DR ,"Robinson
44C-26-692 ",WILLIAMS FORK ,7272,SESE 26 6S 92W,414 FSL 424 FEL,"MAMM CREEK
52500 ",GARFIELD 
"03/22/2017
03/24/2017","VANGUARD OPERATING LLC
10531 ","Jack Desmond 
(303) 456-9038 ","06/29/2017
05-045-21261-00",DR ,"Robinson Federal
14A-25-692 ",ILES ,7353,SESE 26 6S 92w,394 FSL 411 FEL,"MAMM CREEK
52500 ",GARFIELD 
"03/22/2017
03/24/2017","VANGUARD OPERATING LLC
10531 ","Jack Desmond 
(303) 456-9038 ","06/29/2017
05-045-21268-00",DR ,"Robinson Federal
14D-25-692 ",WILLIAMS FORK ,7499,SESE 26 6s 92W,406 FSL 407 FEL,"MAMM CREEK
52500 ",GARFIELD 
"03/22/2017
04/06/2017","VANGUARD OPERATING LLC
10531 ","Jack Desmond 
(303) 456-9038 ","06/29/2017
05-045-21267-00",DR ,"Robinson
43A-26-692 ",WILLIAMS FORK ,7452,SESE 26 6S 92W,419 FSL 415 FEL,"MAMM CREEK
52500 ",GARFIELD 
"03/22/2017
04/06/2017","VANGUARD OPERATING LLC
10531 ","Jack Desmond 
(303) 456-9038 ","06/29/2017
05-045-21264-00",DR ,"Robinson
43B-26-692 ",ILES ,7610,SESE 26 6S 92W,412 FSL 411 FEL,"MAMM CREEK
52500 ",GARFIELD 
"03/22/2017
03/24/2017","VANGUARD OPERATING LLC
10531 ","Jack Desmond 
(303) 456-9038 ","06/29/2017
05-045-21265-00",DR ,"Robinson
44B-26-692 ",WILLIAMS FORK ,7247,SESE 26 6S 92W,407 FSL 419 FEL,"MAMM CREEK
52500 ",GARFIELD 
"03/22/2017
03/24/2017","VANGUARD OPERATING LLC
10531 ","Jack Desmond 
(303) 456-9038 ","06/29/2017
05-045-21266-00",DR ,"Robinson
44D-26-692 ",WILLIAMS FORK ,7316,SESE 26 6S 92W,426 FSL 420 FEL,"MAMM CREEK
52500 ",GARFIELD 
"03/22/2017
03/24/2017","VANGUARD OPERATING LLC
10531 ","Jack Desmond 
(303) 456-9038 ","06/29/2017
05-045-21261-00",DR ,"Robinson Federal
14A-25-692 ",WILLIAMS FORK ,7353,SESE 26 6S 92w,394 FSL 411 FEL,"MAMM CREEK
52500 ",GARFIELD 
"03/22/2017
03/24/2017","VANGUARD OPERATING LLC
10531 ","Jack Desmond 
(303) 456-9038 ","06/29/2017
05-045-21262-00",DR ,"Robinson Federal
14B-25-692 ","ILES, WILLIAMS FORK ",7385,SESE 26 6S 92W,399 FSL 402 FEL,"MAMM CREEK
52500 ",GARFIELD 
"03/22/2017
03/24/2017","VANGUARD OPERATING LLC
10531 ","Jack Desmond 
(303) 456-9038 ","06/29/2017
05-045-21263-00",DR ,"Robinson Federal
14C-25-692 ","ILES, WILLIAMS FORK ",7410,SESE 26 6S 92W,400 FSL 415 FEL,"MAMM CREEK
52500 ",GARFIELD 
"03/22/2017
03/24/2017","VANGUARD OPERATING LLC
10531 ","Jack Desmond 
(303) 456-9038 ","06/29/2017
05-045-21265-00",DR ,"Robinson
44B-26-692 ",ILES ,7247,SESE 26 6S 92W,407 FSL 419 FEL,"MAMM CREEK
52500 ",GARFIELD 
"03/22/2017
03/24/2017","VANGUARD OPERATING LLC
10531 ","Jack Desmond 
(303) 456-9038 ","06/29/2017
05-045-21266-00",DR ,"Robinson
44D-26-692 ",ILES ,7316,SESE 26 6S 92W,426 FSL 420 FEL,"MAMM CREEK
52500 ",GARFIELD 
"03/22/2017
03/24/2017","VANGUARD OPERATING LLC
10531 ","Jack Desmond 
(303) 456-9038 ","06/29/2017
05-045-19016-00",DR ,"Robinson
44C-26-692 ",ILES ,7272,SESE 26 6S 92W,414 FSL 424 FEL,"MAMM CREEK
52500 ",GARFIELD 
"03/22/2017
03/24/2017","VANGUARD OPERATING LLC
10531 ","Jack Desmond 
(303) 456-9038 ","06/29/2017
05-045-21268-00",DR ,"Robinson Federal
14D-25-692 ",ILES ,7499,SESE 26 6s 92W,406 FSL 407 FEL,"MAMM CREEK
52500 ",GARFIELD 
"03/21/2017
03/24/2017","BONANZA CREEK ENERGY OPERATING COMPANY LLC
8960 ","Brian Dodek 
(720) 225-6653 ","06/29/2017
05-123-45065-00",DR ,"Pronghorn
U-Y-18HNB ",NIOBRARA ,10816,SESE 7 5N 61W,228 FSL 1060 FEL,"WATTENBERG
90750 ",WELD 
"06/15/2017
06/15/2017","EXTRACTION OIL & GAS INC
10459 ","Kamrin Ruder 
(720) 9747743 ","06/29/2017
05-069-06466-02",DR ,"Johnsons Corner
6C ",CODELL ,17268,SWNE 35 5N 68W,2248 FNL 2454 FEL,"WATTENBERG
90750 ",LARIMER 
"03/21/2017
03/24/2017","BONANZA CREEK ENERGY OPERATING COMPANY LLC
8960 ","Brian Dodek 
(720) 225-6653 ","06/28/2017
05-123-45064-00",DR ,"Pronghorn
31-34-18HNB ",NIOBRARA ,10826,SESE 7 5N 61W,268 FSL 1059 FEL,"WATTENBERG
90750 ",WELD 
"03/21/2017
03/24/2017","BONANZA CREEK ENERGY OPERATING COMPANY LLC
8960 ","Brian Dodek 
(720) 225-6653 ","06/28/2017
05-123-45061-00",DR ,"Pronghorn
P-T-18HNB ",NIOBRARA ,10737,SESE 7 5N 61W,248 FSL 1060 FEL,"WATTENBERG
90750 ",WELD 
"03/21/2017
03/24/2017","BONANZA CREEK ENERGY OPERATING COMPANY LLC
8960 ","Brian Dodek 
(720) 225-6653 ","06/28/2017
05-123-45063-00",DR ,"Pronghorn
34-7-6MRLNB ",NIOBRARA ,11380,SESE 7 5N 61W,308 FSL 1059 FEL,"WATTENBERG
90750 ",WELD 
"03/21/2017
03/24/2017","BONANZA CREEK ENERGY OPERATING COMPANY LLC
8960 ","Brian Dodek 
(720) 225-6653 ","06/28/2017
05-123-45062-00",DR ,"Pronghorn
T-7-6XRLNB ",NIOBRARA ,15798,SESE 7 5N 61W,288 FSL 1059 FEL,"WATTENBERG
90750 ",WELD 
"03/21/2017
03/24/2017","BONANZA CREEK ENERGY OPERATING COMPANY LLC
8960 ","Brian Dodek 
(720) 225-6653 ","06/28/2017
05-123-45058-00",DR ,"Pronghorn
P41-T44-18HNC ",NIOBRARA ,10830,SESE 7 5N 61W,251 FSL 1220 FEL,"WATTENBERG
90750 ",WELD 
"03/21/2017
03/24/2017","BONANZA CREEK ENERGY OPERATING COMPANY LLC
8960 ","Brian Dodek 
(720) 225-6653 ","06/28/2017
05-123-45057-00",DR ,"Pronghorn
P31-T34-18HNC ",NIOBRARA ,10836,SESE 7 5N 61W,271 FSL 1219 FEL,"WATTENBERG
90750 ",WELD 
"03/21/2017
03/24/2017","BONANZA CREEK ENERGY OPERATING COMPANY LLC
8960 ","Brian Dodek 
(720) 225-6653 ","06/28/2017
05-123-45060-00",DR ,"Pronghorn
U41-Y44-18HNC ",NIOBRARA ,10880,SESE 7 5N 61W,231 FSL 1220 FEL,"WATTENBERG
90750 ",WELD 
"03/21/2017
03/24/2017","BONANZA CREEK ENERGY OPERATING COMPANY LLC
8960 ","Brian Dodek 
(720) 225-6653 ","06/28/2017
05-123-45059-00",DR ,"Pronghorn
K31-O34-18HNC ",NIOBRARA ,10932,SESE 7 5N 61W,291 FSL 1219 FEL,"WATTENBERG
90750 ",WELD 
"03/21/2017
03/24/2017","BONANZA CREEK ENERGY OPERATING COMPANY LLC
8960 ","Brian Dodek 
(720) 225-6653 ","06/28/2017
05-123-45056-00",DR ,"Pronghorn
Y44-7-6XRLNC ",NIOBRARA ,15921,SESE 7 5N 61W,311 FSL 1219 FEL,"WATTENBERG
90750 ",WELD 
"03/21/2017
03/24/2017","BONANZA CREEK ENERGY OPERATING COMPANY LLC
8960 ","Brian Dodek 
(720) 225-6653 ","06/28/2017
05-123-45055-00",DR ,"Pronghorn
O34-7-6XRLNC ",NIOBRARA ,16070,SESE 7 5N 61W,371 FSL 1218 FEL,"WATTENBERG
90750 ",WELD 
"03/21/2017
03/24/2017","BONANZA CREEK ENERGY OPERATING COMPANY LLC
8960 ","Brian Dodek 
(720) 225-6653 ","06/28/2017
05-123-45054-00",DR ,"Pronghorn
T44-7-6XRLNC ",NIOBRARA ,15876,SESE 7 5N 61W,331 FSL 1218 FEL,"WATTENBERG
90750 ",WELD 
"03/21/2017
03/24/2017","BONANZA CREEK ENERGY OPERATING COMPANY LLC
8960 ","Brian Dodek 
(720) 225-6653 ","06/28/2017
05-123-45053-00",DR ,"Pronghorn
T34-7-6MRLNC ",NIOBRARA ,11414,SESE 7 5N 61W,351 FSL 1218 FEL,"WATTENBERG
90750 ",WELD 
"04/10/2017
04/18/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/28/2017
05-123-45045-00",DR ,"Leonard
2N ",NIOBRARA ,12236,NWSW 21 2N 67W,1936 FSL 494 FWL,"WATTENBERG
90750 ",WELD 
"04/10/2017
04/20/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/28/2017
05-123-45046-00",DR ,"Leonard
4N ",NIOBRARA ,12206,NWSW 21 2N 67W,1880 FSL 494 FWL,"WATTENBERG
90750 ",WELD 
"04/10/2017
04/20/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/28/2017
05-123-45047-00",DR ,"Leonard
6N ",NIOBRARA ,12212,NWSW 21 2N 67W,1824 FSL 494 FWL,"WATTENBERG
90750 ",WELD 
"04/10/2017
04/20/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/28/2017
05-123-45052-00",DR ,"Leonard
7N ",NIOBRARA ,12227,NWSW 21 2N 67W,1796 FSL 494 FWL,"WATTENBERG
90750 ",WELD 
"04/10/2017
04/20/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/28/2017
05-123-45044-00",DR ,"Leonard
9C ",CODELL ,12508,NWSW 21 2N 67W,1740 FSL 494 FWL,"WATTENBERG
90750 ",WELD 
"04/10/2017
04/18/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/28/2017
05-123-45051-00",DR ,"Leonard
1C ",CODELL ,12499,NWSW 21 2N 67W,1964 FSL 494 FWL,"WATTENBERG
90750 ",WELD 
"04/10/2017
04/20/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/28/2017
05-123-45049-00",DR ,"Leonard
3N ",NIOBRARA ,12214,NWSW 21 2N 67W,1908 FSL 494 FWL,"WATTENBERG
90750 ",WELD 
"04/10/2017
04/20/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/28/2017
05-123-45048-00",DR ,"Leonard
5C ",CODELL ,12457,NWSW 21 2N 67W,1852 FSL 494 FWL,"WATTENBERG
90750 ",WELD 
"04/10/2017
04/20/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/28/2017
05-123-45043-00",DR ,"Leonard
8N ",NIOBRARA ,12248,NWSW 21 2N 67W,1768 FSL 494 FWL,"WATTENBERG
90750 ",WELD 
"04/10/2017
04/20/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/28/2017
05-123-45050-00",DR ,"Leonard
10N ",NIOBRARA ,12287,NWSW 21 2N 67W,1712 FSL 494 FWL,"WATTENBERG
90750 ",WELD 
"04/10/2017
04/20/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/28/2017
05-123-45042-00",DR ,"Leonard
11N ",NIOBRARA ,12352,NWSW 21 2N 67W,1684 FSL 494 FWL,"WATTENBERG
90750 ",WELD 
"06/27/2017
06/27/2017","WHITING OIL & GAS CORPORATION
96155 ","Michael Brown 
(307) 237-9310 ","06/28/2017
05-123-40139-01",DR ,"Razor Fed
30L-3102 ",NIOBRARA ,13879,Lot 3 30 10N 58W,2395 FSL 560 FWL,"WILDCAT
99999 ",WELD 
"06/26/2017
06/26/2017","BARRETT CORPORATION* BILL
10071 ","Matt Barber 
(303) 312-8188 ","06/28/2017
05-123-44714-02",DR ,"Peterson
5-63-30-0758B2 ",NIOBRARA ,16329,NENE 30 5N 63W,613 FNL 792 FEL,"WATTENBERG
90750 ",WELD 
"02/15/2017
02/21/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/27/2017
05-123-41133-00",DR ,"AD-J Evans
4-20-24 ",NIOBRARA ,19827,NWSW 21 5N 65W,2188 FSL 371 FWL,"WATTENBERG
90750 ",WELD 
"02/15/2017
02/21/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/27/2017
05-123-45039-00",DR ,"AD-Double Clutch
3-20-24 ",NIOBRARA ,19614,NWSW 21 5N 65W,2044 FSL 369 FWL,"WATTENBERG
90750 ",WELD 
"02/15/2017
02/21/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/27/2017
05-123-41140-00",DR ,"AD-Dairy
5-20-24 ",NIOBRARA ,19792,NWSW 21 5N 65W,1900 FSL 367 FWL,"WATTENBERG
90750 ",WELD 
"03/15/2017
03/17/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/27/2017
05-123-45038-00",DR ,"AD-J Evans
C4-20-24 ",CODELL ,19960,NWSW 21 5N 65W,2140 FSL 370 FWL,"WATTENBERG
90750 ",WELD 
"02/15/2017
02/21/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/27/2017
05-123-40314-00",DR ,"AD-Dairy
3-20-24 ",NIOBRARA ,19720,NWSW 21 5N 65W,1972 FSL 368 FWL,"WATTENBERG
90750 ",WELD 
"04/25/2017
05/05/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/27/2017
05-123-45033-00",DR ,"AD-Library
1-20-24 ",NIOBRARA ,19846,NWSW 21 5N 65W,1852 FSL 367 FWL,"WATTENBERG
90750 ",WELD 
"02/15/2017
02/21/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/27/2017
05-123-45041-00",DR ,"AD-J Evans
C3-20-24 ",CODELL ,20060,NWSW 21 5N 65W,2212 FSL 371 FWL,"WATTENBERG
90750 ",WELD 
"02/15/2017
02/21/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/27/2017
05-123-45036-00",DR ,"AD-Double Clutch
2-20-24 ",NIOBRARA ,19711,NWSW 21 5N 65W,2092 FSL 369 FWL,"WATTENBERG
90750 ",WELD 
"02/15/2017
02/21/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/27/2017
05-123-45035-00",DR ,"AD-Double Clutch
C5-20-24 ",CODELL ,19906,NWSW 21 5N 65W,2068 FSL 369 FWL,"WATTENBERG
90750 ",WELD 
"03/20/2017
03/22/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/27/2017
05-123-45032-00",DR ,"AD-Dairy
C6-20-24 ",CODELL ,19899,NWSW 21 5N 65W,2020 FSL 369 FWL,"WATTENBERG
90750 ",WELD 
"02/15/2017
02/21/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/27/2017
05-123-41146-00",DR ,"AD-Dairy
2-20-24 ",NIOBRARA ,19696,NWSW 21 5N 65W,1996 FSL 368 FWL,"WATTENBERG
90750 ",WELD 
"02/15/2017
02/21/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/27/2017
05-123-45034-00",DR ,"AD-Dairy
C7-20-24 ",CODELL ,19866,NWSW 21 5N 65W,1948 FSL 368 FWL,"WATTENBERG
90750 ",WELD 
"02/15/2017
02/21/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/27/2017
05-123-41138-00",DR ,"AD-Dairy
4-20-24 ",NIOBRARA ,19742,NWSW 21 5N 65W,1924 FSL 368 FWL,"WATTENBERG
90750 ",WELD 
"04/25/2017
05/05/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/27/2017
05-123-45037-00",DR ,"AD-Library
2-20-24 ",NIOBRARA ,19903,NWSW 21 5N 65W,1828 FSL 367 FWL,"WATTENBERG
90750 ",WELD 
"02/15/2017
02/21/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/27/2017
05-123-45040-00",DR ,"AD-Double Clutch
1-20-24 ",NIOBRARA ,19742,NWSW 21 5N 65W,2116 FSL 370 FWL,"WATTENBERG
90750 ",WELD 
"02/22/2017
03/01/2017","SG INTERESTS I LTD
77330 ","Tracy Arnett 
(970) 3850696 ","06/26/2017
05-051-06146-00",DR ,"Federal 11-90-9
5 ",MANCOS ,13912,SWNW 9 11s 90w,1744 FNL 1004 FWL,"WILDCAT
99999 ",GUNNISON 
"02/21/2017
02/28/2017","SG INTERESTS I LTD
77330 ","Tracy Arnett 
(970) 3850696 ","06/26/2017
05-051-06147-00",DR ,"Federal 11-90-9
4 ",MANCOS ,13955,SWNW 9 11s 90w,1754 FNL 1016 FWL,"WILDCAT
99999 ",GUNNISON 
"02/23/2017
03/03/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/26/2017
05-123-45031-00",DR ,"Wake North
4 ",NIOBRARA ,17758,NWSE 32 6N 65W,2495 FSL 2169 FEL,"WATTENBERG
90750 ",WELD 
"01/12/2017
01/23/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/23/2017
05-123-45030-00",DR ,"Wake North
23 ",NIOBRARA ,17715,NWSE 32 6N 65W,2192 FSL 2175 FEL,"WATTENBERG
90750 ",WELD 
"02/02/2017
02/08/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/23/2017
05-123-45020-00",DR ,"Wake North
3 ",CODELL ,17918,NWSE 32 6N 65W,2511 FSL 2168 FEL,"WATTENBERG
90750 ",WELD 
"01/12/2017
01/23/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/23/2017
05-123-45019-00",DR ,"Wake North
5 ",NIOBRARA ,17652,NWSE 32 6N 65W,2479 FSL 2169 FEL,"WATTENBERG
90750 ",WELD 
"01/12/2017
01/23/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/23/2017
05-123-45027-00",DR ,"Wake North
7 ",NIOBRARA ,17603,NWSE 32 6N 65W,2447 FSL 2170 FEL,"WATTENBERG
90750 ",WELD 
"01/12/2017
01/23/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/23/2017
05-123-45018-00",DR ,"Wake North
13 ",NIOBRARA ,17529,NWSE 32 6N 65W,2352 FSL 2172 FEL,"WATTENBERG
90750 ",WELD 
"01/12/2017
01/23/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/23/2017
05-123-45016-00",DR ,"Wake North
17 ",NIOBRARA ,17522,NWSE 32 6N 65W,2288 FSL 2173 FEL,"WATTENBERG
90750 ",WELD 
"01/12/2017
01/23/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/23/2017
05-123-45010-00",DR ,"Wake North
24 ",CODELL ,17904,NWSE 32 6N 65W,2176 FSL 2176 FEL,"WATTENBERG
90750 ",WELD 
"01/12/2017
01/23/2017","EXTRACTION OIL & GAS INC
10459 ","Alyssa Andrews 
(720) 481-2379 ","06/23/2017
05-123-45028-00",DR ,"Wake North
14 ",NIOBRARA ,17501,NWSE 32 6N 65W,2336 FSL 2172 FEL,"WATTENBERG
90750 ",WELD 
